year,month,fare_group,fare_type,count,pct
2026,2,Sponsored Fare,Essex Westford School District,448,0.0031045355323793353
2026,2,Sponsored Fare,Single-fare voucher,2380,0.016492845015765218
2026,2,Sponsored Fare,South Burlington School District,296,0.0020512109767506326
2026,2,Sponsored Fare,St. Michael's College,1083,0.00750493745885451
2026,2,Sponsored Fare,UVM,46429,0.32174214337687534
2026,2,Sponsored Fare,UVMMC,3343,0.02316621045701812
2026,3,Discounted Fare,Discount Cash,15174,0.10009895111814764
2026,3,Discounted Fare,Discount Mobile,2913,0.01921630714427073
2026,3,Discounted Fare,Discount Smart Card,12851,0.08477472128768389
2026,3,Discounted Fare,Discount Smart Card Daily Fare Cap,4582,0.030226268223497593
2026,3,Discounted Fare,Discount Smart Card Monthly Fare Cap,4450,0.029355498383798403
2026,3,Discounted Fare,Free Ride,2132,0.014064252259383864
2026,3,Regular Fare,Regular Cash,5832,0.03847219473580051
2026,3,Regular Fare,Regular Credit Card,10289,0.06787387030806781
2026,3,Regular Fare,Regular Mobile,11573,0.07634408602150537
2026,3,Regular Fare,Regular Smart Card,3405,0.02246190381951316
2026,3,Regular Fare,Regular Smart Card Daily Fare Cap,953,0.0062866943729797484
2026,3,Regular Fare,Regular Smart Card Monthly Fare Cap,1004,0.006623128174681707
2026,3,Sponsored Fare,Burlington School District,24871,0.1640675506299888
2026,3,Sponsored Fare,Champlain College,3191,0.0210502012006069
2026,3,Sponsored Fare,Employer Program,567,0.0037403522659806058
2026,3,Sponsored Fare,Essex Westford School District,605,0.003991028431954614
2026,3,Sponsored Fare,Single-fare voucher,2771,0.01827956989247312
2026,3,Sponsored Fare,South Burlington School District,482,0.003179629263144007
2026,3,Sponsored Fare,St. Michael's College,1170,0.007718187215515536
2026,3,Sponsored Fare,UVM,39267,0.25903423708687906
2026,3,Sponsored Fare,UVMMC,3508,0.023141368164126923
2025,7,Discounted Fare,Discount Mobile Daily Fare Cap,512,0.004235745722889573
2025,7,Discounted Fare,Discount Mobile Monthly Fare Cap,448,0.003706277507528376
2025,7,Regular Fare,Regular Mobile Daily Fare Cap,1370,0.011333928985075615
2025,7,Regular Fare,Regular Mobile Monthly Fare Cap,1332,0.011019557232204904
2025,8,Discounted Fare,Discount Mobile Daily Fare Cap,437,0.0030009201906305368
2025,8,Discounted Fare,Discount Mobile Monthly Fare Cap,418,0.0028704453997335567
2025,8,Regular Fare,Regular Mobile Daily Fare Cap,1336,0.009174437928335005
2025,8,Regular Fare,Regular Mobile Monthly Fare Cap,1606,0.011028553377923665
2025,9,Discounted Fare,Discount Mobile Daily Fare Cap,573,0.003086785541130205
2025,9,Discounted Fare,Discount Mobile Monthly Fare Cap,408,0.002197920594731455
2025,9,Regular Fare,Regular Mobile Daily Fare Cap,1515,0.008161396326024889
2025,9,Regular Fare,Regular Mobile Monthly Fare Cap,1411,0.007601142056779616
2025,10,Discounted Fare,Discount Mobile Daily Fare Cap,581,0.002982285940138694
2025,10,Discounted Fare,Discount Mobile Monthly Fare Cap,423,0.002171268421133679
2025,10,Regular Fare,Regular Mobile Daily Fare Cap,1160,0.005954305835733021
2025,10,Regular Fare,Regular Mobile Monthly Fare Cap,1467,0.007530143673293398
2025,11,Discounted Fare,Discount Mobile Daily Fare Cap,442,0.0029753089743934946
2025,11,Discounted Fare,Discount Mobile Monthly Fare Cap,337,0.002268504806268343
2025,11,Regular Fare,Regular Mobile Daily Fare Cap,1008,0.006785320014001454
2025,11,Regular Fare,Regular Mobile Monthly Fare Cap,1295,0.008717251406876868
2025,12,Discounted Fare,Discount Mobile Daily Fare Cap,493,0.003969084614765317
2025,12,Discounted Fare,Discount Mobile Monthly Fare Cap,363,0.002922470010466146
2025,12,Regular Fare,Regular Mobile Daily Fare Cap,1120,0.009016987360115932
2025,12,Regular Fare,Regular Mobile Monthly Fare Cap,1254,0.010095805490701232
2026,1,Discounted Fare,Discount Mobile Daily Fare Cap,463,0.0033686201753428645
2026,1,Discounted Fare,Discount Mobile Monthly Fare Cap,319,0.0023209283713485395
2026,1,Regular Fare,Regular Mobile Daily Fare Cap,1409,0.01025137327658336
2026,1,Regular Fare,Regular Mobile Monthly Fare Cap,1025,0.007457528465931828
2026,2,Discounted Fare,Discount Mobile Daily Fare Cap,471,0.00326392016908631
2026,2,Discounted Fare,Discount Mobile Monthly Fare Cap,333,0.0023076123488444612
2026,2,Regular Fare,Regular Mobile Daily Fare Cap,1360,0.009424482866151555
2026,2,Regular Fare,Regular Mobile Monthly Fare Cap,1547,0.010720349260247392
