year,month,fare_group,route,count,pct
2026,1,Discount,7,5272,0.2907727097236777
2026,1,Discount,8,941,0.3958771560790913
2026,1,Discount,9,3575,0.34401462663587373
2026,1,Discount,11,1735,0.1694666927134206
2026,1,Discount,86,157,0.07905337361530715
2026,1,Discount,96,255,0.25449101796407186
2026,1,Freeride,1,547,0.016950728230554695
2026,1,Freeride,2,775,0.024683100834448055
2026,1,Freeride,4,26,0.03880597014925373
2026,1,Freeride,5,244,0.04259776536312849
2026,1,Freeride,6,680,0.04056795131845842
2026,1,Freeride,7,453,0.024984832607136947
2026,1,Freeride,8,84,0.0353386621792175
2026,1,Freeride,9,385,0.037047729022324866
2026,1,Freeride,11,183,0.017874584879859347
2026,1,Freeride,86,30,0.015105740181268883
2026,1,Freeride,96,87,0.08682634730538923
2026,1,Regular,1,7513,0.23281685776262784
2026,1,Regular,2,5916,0.18841964456334798
2026,1,Regular,4,206,0.3074626865671642
2026,1,Regular,5,1437,0.25087290502793297
2026,1,Regular,6,5186,0.30939028755518433
2026,1,Regular,7,3266,0.18013347305719485
2026,1,Regular,8,279,0.11737484223811527
2026,1,Regular,9,2662,0.2561585835257891
2026,1,Regular,11,1506,0.1470990427817933
2026,1,Regular,86,1010,0.5085599194360524
2026,1,Regular,96,304,0.3033932135728543
2026,1,School or University or Employer Sponsored,1,16338,0.5062906724511931
2026,1,School or University or Employer Sponsored,2,18206,0.5798458500541436
2026,1,School or University or Employer Sponsored,4,264,0.3940298507462687
2026,1,School or University or Employer Sponsored,5,2096,0.3659217877094972
2026,1,School or University or Employer Sponsored,6,4003,0.23881398401145448
2026,1,School or University or Employer Sponsored,7,9140,0.5041089846119905
2026,1,School or University or Employer Sponsored,8,1073,0.4514093395035759
2026,1,School or University or Employer Sponsored,9,3770,0.3627790608160123
2026,1,School or University or Employer Sponsored,11,6814,0.6655596796249268
2026,1,School or University or Employer Sponsored,86,789,0.3972809667673716
2026,1,School or University or Employer Sponsored,96,356,0.35528942115768464
