year,month,route,stop_id,stop_name,municipality,total_boardings,pct_total_boardings,pct_route_boardings,latitude,longitude
2026,July,4,805792,Amtrak,Essex Junction,153,0.001432463556441873,0.3533487297921478,44.492655,-73.110355
2026,July,4,805830,Main Street at Densmore Drive,Essex Junction,1,9.362506904848842e-6,0.0023094688221709007,44.49475,-73.10395
2026,July,4,805831,Main Street at #141,Essex Junction,7,6.55375483339419e-5,0.016166281755196306,44.49757,-73.09973
2026,July,4,805832,Main Street at Fairview Drive,Essex Junction,4,3.7450027619395366e-5,0.009237875288683603,44.49922,-73.09823
2026,July,4,805835,Essex Way at Post Office,Essex,7,6.55375483339419e-5,0.016166281755196306,44.507432,-73.078932
2026,July,4,805836,Center Road at Essex Way,Essex,10,9.362506904848843e-5,0.023094688221709007,44.510195,-73.078172
2026,July,4,805837,Route 15 at Saybrook Road,Essex,4,3.7450027619395366e-5,0.009237875288683603,44.510361,-73.074694
2026,July,4,805838,Route 15 at Sunset Drive,Essex,5,4.6812534524244215e-5,0.011547344110854504,44.51062,-73.06947
2026,July,4,805839,Route 15 at Opposite Essex Square,Essex,13,1.2171258976303495e-4,0.03002309468822171,44.51078,-73.06588
2026,July,4,805840,Essex Center,Essex,2,1.8725013809697683e-5,0.004618937644341801,44.51147,-73.06085
2026,July,4,805841,Route 15 at Essex Town Public Works,Essex,6,5.6175041429093056e-5,0.013856812933025405,44.51088,-73.05813
2026,July,4,805842,Sand Hill Road at Opposite Champlain Farms,Essex,3,2.8087520714546528e-5,0.006928406466512702,44.50812,-73.05488
2026,July,4,805843,Sand Hill Road at Essex Town Park,Essex,6,5.6175041429093056e-5,0.013856812933025405,44.50738,-73.05433
2026,July,4,805844,Sand Hill Road at Cemetery Road,Essex,2,1.8725013809697683e-5,0.004618937644341801,44.506594,-73.05374
2026,July,4,805845,Sand Hill Road at Foster Road,Essex,10,9.362506904848843e-5,0.023094688221709007,44.504439,-73.052051
2026,July,4,805846,Sand Hill Road at Founders Road,Essex,1,9.362506904848842e-6,0.0023094688221709007,44.5021,-73.05018
2026,July,4,805847,Sand Hill Road at Opposite Maple Lawn Drive,Essex,4,3.7450027619395366e-5,0.009237875288683603,44.50037,-73.04912
2026,July,4,805848,Sand Hill Road at Lasalle Road,Essex,3,2.8087520714546528e-5,0.006928406466512702,44.49745,-73.04948
2026,July,4,805850,Sand Hill Road at Allen Martin Parkway,Essex,1,9.362506904848842e-6,0.0023094688221709007,44.49185,-73.0501
2026,July,4,805851,Sand Hill Road at Opposite Offset House,Essex,4,3.7450027619395366e-5,0.009237875288683603,44.4912,-73.05018
2026,July,4,805852,Sand Hill Road at Oak Park,Essex,8,7.490005523879073e-5,0.018475750577367205,44.48924603059581,-73.05032915099912
2026,July,4,805858,River Road at Pinewood Drive,Essex,2,1.8725013809697683e-5,0.004618937644341801,44.48332,-73.07422
2026,July,4,805859,River Road at 83 River Road Apartments,Essex,5,4.6812534524244215e-5,0.011547344110854504,44.48335291971945,-73.076046147429
2026,July,4,805860,River Road at Valleyview Drive,Essex,7,6.55375483339419e-5,0.016166281755196306,44.483526,-73.079358
2026,July,4,805862,Maple Street at Lawton School,Essex Junction,1,9.362506904848842e-6,0.0023094688221709007,44.48602,-73.0998
2026,July,4,805863,Maple Street at Mansfield Avenue,Essex Junction,1,9.362506904848842e-6,0.0023094688221709007,44.48803,-73.10397
2026,July,4,805866,Maple Street at Railroad Street (Bushey's Sunoco),Essex Junction,5,4.6812534524244215e-5,0.011547344110854504,44.49012,-73.10942
2026,July,4,805887,Sand Hill Road at Greenbriar Road,Essex,4,3.7450027619395366e-5,0.009237875288683603,44.485313462223864,-73.04992254389322
2026,July,4,805913,Educational Drive at Main Street,Essex Junction,5,4.6812534524244215e-5,0.011547344110854504,44.494117,-73.106157
2026,July,4,805914,Essex Experience at McDonalds,Essex,15,1.4043760357273263e-4,0.03464203233256351,44.5076267390293,-73.0860646551367
2026,July,4,805915,Sand Hill Road at Tanglewood Road,Essex,6,5.6175041429093056e-5,0.013856812933025405,44.5057,-73.053
2026,July,4,805916,River Road at Pinewood Plaza,Essex,3,2.8087520714546528e-5,0.006928406466512702,44.48340130629136,-73.08151838214587
2026,July,4,805917,Maple Street at Maplewood Lane,Essex Junction,2,1.8725013809697683e-5,0.004618937644341801,44.4867,-73.10147
2026,July,4,806006,Essex Experience,Essex,46,4.306753176230467e-4,0.10623556581986143,44.507,-73.08072
2026,July,4,806007,Route 15 at Lyon Lane,Essex,8,7.490005523879073e-5,0.018475750577367205,44.51048,-73.0726
2026,July,4,806012,River Road at Citgo,Essex,3,2.8087520714546528e-5,0.006928406466512702,44.483426,-73.084564
2026,July,4,806037,Main Street at Brickyard Road,Essex Junction,7,6.55375483339419e-5,0.016166281755196306,44.495989,-73.102014
2026,July,4,806038,River Road at Maple Street,Essex Junction,4,3.7450027619395366e-5,0.009237875288683603,44.48417,-73.09515
2026,July,4,806070,River Road at Opposite #30,Essex,7,6.55375483339419e-5,0.016166281755196306,44.48357,-73.08663
2026,July,4,812017,Essex Experience-Hannaford,Essex,48,4.4940033143274445e-4,0.11085450346420324,44.506631,-73.084664
2026,July,5,2562322,Downtown Transit Center,Burlington,1761,0.01648737465943881,0.3819956616052061,44.479731,-73.214298
2026,July,5,2573649,194 St Paul Street (Eagles Landing),Burlington,60,5.617504142909305e-4,0.013015184381778741,44.474220989280326,-73.21381420717712
2026,July,5,4251888,Champlain Parkway at Home Ave,Burlington,193,0.0018069638326358266,0.04186550976138829,44.45162405,-73.217689578
2026,July,5,4251889,Champlain Parkway at Flynn Ave,Burlington,243,0.0022750891778782686,0.05271149674620391,44.455390433,-73.217056133
2026,July,5,4251891,Pine Street at Kilburn Street,Burlington,76,7.11550524768512e-4,0.01648590021691974,44.470969443,-73.21518026
2026,July,5,4261914,Lakeside Avenue at Champlain Parkway,Burlington,158,0.001479276090966117,0.03427331887201735,44.461236,-73.216272
2026,July,5,4261915,Champlain Parkway at Sears Lane,Burlington,33,3.089627278600118e-4,0.007158351409978308,44.459125,-73.216789
2026,July,5,805484,S. Winooski Avenue at Bank Street,Burlington,242,0.0022657266709734196,0.052494577006507594,44.478387,-73.211225
2026,July,5,805536,Main Street at Pine Street,Burlington,15,1.4043760357273263e-4,0.0032537960954446853,44.47588,-73.2159
2026,July,5,805537,Battery Street at College Street,Burlington,31,2.902377140503141e-4,0.006724511930585683,44.47669,-73.218674
2026,July,5,805538,Battery Street at Cherry Street,Burlington,2,1.8725013809697683e-5,4.338394793926247e-4,44.47899973630009,-73.21883190406265
2026,July,5,805665,Maple Street at St Paul Street,Burlington,131,0.0012264884045351983,0.02841648590021692,44.473688,-73.213657
2026,July,5,805724,Opposite 230 St Paul Street,Burlington,181,0.0016946137497776406,0.03926247288503254,44.4725758663786,-73.21387942650665
2026,July,5,805726,Pine Street Opposite Pine Place (Old Greyhound),Burlington,54,5.055753728618375e-4,0.011713665943600867,44.469792,-73.215209
2026,July,5,805727,Pine Street at Opposite Howard Street,Burlington,34,3.1832523476486065e-4,0.00737527114967462,44.46707,-73.215043
2026,July,5,805728,Pine Street at Burlington Electric Dept.,Burlington,54,5.055753728618375e-4,0.011713665943600867,44.463529,-73.214778
2026,July,5,805729,Pine Street at Opposite Birchcliff Parkway,Burlington,48,4.4940033143274445e-4,0.010412147505422993,44.459138,-73.214493
